	[Abort Jobs]
	OID	Abort	Delay
[1]	121	1	0
[2]	272	1	0
[3]	20	2	0
[4]	131	2	0
[5]	101	3	0
[6]	112	5	0
[7]	3	6	0
[8]	4	6	0
[9]	5	6	0
[10]	9	6	0
[11]	38	6	0
[12]	103	6	0
[13]	106	6	0
[14]	108	6	0
[15]	111	6	0
[16]	115	6	0
[17]	116	6	0
[18]	119	6	0
[19]	298	6	0
[20]	105	10	0
[21]	104	11	0
[22]	267	30	0
[23]	888	30	0
[24]	29	45	0
[25]	117	45	0
[26]	21	50	0
[27]	22	50	0
[28]	23	50	0
[29]	54	50	0
[30]	274	50	0
[31]	999	50	0
[32]	31	97	0
[33]	206	97	0
[34]	55	150	0
[35]	10	160	0
[36]	11	160	0
[37]	12	160	0
[38]	13	160	0
[39]	14	160	0
[40]	15	160	0
[41]	16	160	0
[42]	66	160	0
[43]	67	160	0
[44]	68	160	0
[45]	69	160	0
[46]	24	161	0
[47]	25	161	0
[48]	32	165	0
[49]	33	165	0
[50]	34	165	0
[51]	35	167	0
[52]	45	173	0
[53]	46	173	0
[54]	47	173	0
[55]	48	173	0
[56]	49	176	0
[57]	6	250	0
[58]	122	250	0
[59]	2	501	500
[60]	37	501	500
[61]	120	502	501
[62]	135	501	0
[63]	142	501	0
[64]	370	501	0
[65]	36	589	88
[66]	18	601	0
[67]	19	601	0
[68]	24	601	0
[69]	25	601	0
[70]	26	601	0
[71]	27	601	0
[72]	101	601	0
[73]	102	601	0
[74]	205	601	0
[75]	777	601	0
[76]	28	603	0
[77]	107	603	0
[78]	30	604	0
[79]	108	604	0
[80]	39	687	87
[81]	132	687	87
[82]	231	687	87
	[Jobs Done]
	OID	Departure	Delay
[1]	1	501	0
[2]	7	509	1
[3]	8	589	8
[4]	17	607	0
[Average Delay]	21.62 ms
[Success Rate]	4.65 %
